Date_start,Date_end,Duration,Current1_Ah,Current2_Ah,Current3_Ah,Total_Ah,Power_kW
1/1/2018 0:00,1/1/2018 1:00,,179.312,173.513,155.784,508.609,106.4518637
1/1/2018 1:00,1/1/2018 2:00,,177.386,175.71,156.975,510.071,106.7578603
1/1/2018 2:00,1/1/2018 3:00,,176.141,172.139,151.069,499.349,104.5137457
1/1/2018 3:00,1/1/2018 4:00,,175.547,175.537,156.287,507.371,106.1927503
1/1/2018 4:00,1/1/2018 5:00,,175.074,171.781,154.325,501.18,104.896974
1/1/2018 5:00,1/1/2018 6:00,,178.181,175.414,154.994,508.588,106.4474684
1/1/2018 6:00,1/1/2018 7:00,,175.987,172.539,152.977,501.503,104.9645779
1/1/2018 7:00,1/1/2018 8:00,,177.509,171.328,154.116,502.953,105.2680629
1/1/2018 8:00,1/1/2018 9:00,,175.829,177.146,156.856,509.832,106.7078376
1/1/2018 9:00,1/1/2018 10:00,,168.551,180.753,156.618,505.922,105.8894746
1/1/2018 10:00,1/1/2018 11:00,,183.427,199.136,170.193,552.756,115.6918308
1/1/2018 11:00,1/1/2018 12:00,,190.041,207.853,176.93,574.823,120.3104539
1/1/2018 12:00,1/1/2018 13:00,,194.473,212.669,183.699,590.841,123.6630213
1/1/2018 13:00,1/1/2018 14:00,,192.537,211.302,183.747,587.586,122.9817498
1/1/2018 14:00,1/1/2018 15:00,,193.442,213.312,180.189,586.943,122.8471699
1/1/2018 15:00,1/1/2018 16:00,,190.11,211.151,181.062,582.323,121.8802039
1/1/2018 16:00,1/1/2018 17:00,,193.015,211.846,179.667,584.529,122.3419197
1/1/2018 17:00,1/1/2018 18:00,,199,207.893,182.693,589.585,123.4001405
1/1/2018 18:00,1/1/2018 19:00,,199.92,196.538,174.135,570.593,119.4251149
1/1/2018 19:00,1/1/2018 20:00,,199.826,195.173,172.067,567.066,118.6869138
1/1/2018 20:00,1/1/2018 21:00,,197.963,196.239,174.773,568.975,119.0864675
1/1/2018 21:00,1/1/2018 22:00,,196.661,194.042,172.135,562.837,117.8017841
1/1/2018 22:00,1/1/2018 23:00,,185.699,179.882,162.7,528.28,110.569004
1/1/2018 23:00,2/1/2018 0:00,,179.939,171.365,159.105,510.41,106.828813
